Position X,Position Y,Position Z,Unit,Category,Collection,TimePointID,TrackID,Time_Min
396.0018039,132.669147,21.52408336,um,Spot,Position,1,1,0
396.030066,132.6308848,21.30437205,um,Spot,Position,2,1,0.5
396.0134244,132.1926187,19.73861311,um,Spot,Position,3,1,1
394.921101,131.5978617,20.60230487,um,Spot,Position,4,1,1.5
393.7074085,130.9370205,21.56196238,um,Spot,Position,5,1,2
386.3492971,124.0562408,19.57779607,um,Spot,Position,6,1,2.5
382.3718724,132.8769381,20.0323643,um,Spot,Position,7,1,3
386.7435783,134.8147817,22.36362067,um,Spot,Position,8,1,3.5
392.0375961,136.6893489,25.4076539,um,Spot,Position,9,1,4
397.3316139,138.5639161,28.45168713,um,Spot,Position,10,1,4.5
396.9700188,139.7596092,30.05240412,um,Spot,Position,11,1,5
393.7955892,137.829153,32.66588802,um,Spot,Position,12,1,5.5
392.1137739,136.3790211,35.52225007,um,Spot,Position,13,1,6
393.1230302,140.0176247,34.12748199,um,Spot,Position,14,1,6.5
391.8900826,139.9062959,34.22048996,um,Spot,Position,15,1,7
391.7040529,139.9302313,34.19698311,um,Spot,Position,16,1,7.5
392.2879863,139.8542954,35.28634045,um,Spot,Position,17,1,8
392.2563042,139.6474407,34.88848088,um,Spot,Position,18,1,8.5
391.9930834,138.285207,34.36706658,um,Spot,Position,19,1,9
390.9563697,136.9732997,36.62384804,um,Spot,Position,20,1,9.5
389.9555586,136.0994354,38.60385601,um,Spot,Position,21,1,10
388.1337211,136.3564544,38.50639845,um,Spot,Position,22,1,10.5
394.168836,136.1222884,29.75758364,um,Spot,Position,23,1,11
400.8208157,135.8127973,20.05532865,um,Spot,Position,24,1,11.5
404.5127734,136.1242008,13.06075923,um,Spot,Position,25,1,12
404.7369847,136.5123792,11.80964187,um,Spot,Position,26,1,12.5
404.2489993,137.9835218,8.588470431,um,Spot,Position,27,1,13
402.177688,138.2857277,6.921448229,um,Spot,Position,28,1,13.5
401.7275342,137.5798581,4.642886707,um,Spot,Position,29,1,14
403.689559,136.6886132,5.328469162,um,Spot,Position,30,1,14.5
403.0100114,136.9994088,6.862207495,um,Spot,Position,31,1,15
402.3221636,138.0078622,8.21374396,um,Spot,Position,32,1,15.5
401.3509346,139.3774315,9.110514711,um,Spot,Position,33,1,16
402.4819224,140.0679325,7.137357067,um,Spot,Position,34,1,16.5
404.6239522,142.3718476,2.730205847,um,Spot,Position,35,1,17
404.406865,142.2766814,3.273305377,um,Spot,Position,36,1,17.5
404.5381248,141.7550502,3.611109058,um,Spot,Position,37,1,18
404.6749335,141.3087112,3.958291149,um,Spot,Position,38,1,18.5
406.6954339,140.8279336,3.679292585,um,Spot,Position,39,1,19
409.5185083,139.9508217,2.757935315,um,Spot,Position,40,1,19.5
410.4330518,139.8196609,2.219386333,um,Spot,Position,41,1,20
408.4847989,140.8074269,2.255049784,um,Spot,Position,42,1,20.5
408.1394153,141.7511896,2.889946031,um,Spot,Position,43,1,21
408.2246055,142.5367658,3.540206318,um,Spot,Position,44,1,21.5
407.9208549,142.9661798,3.806218238,um,Spot,Position,45,1,22
407.6105261,143.1748384,4.039120143,um,Spot,Position,46,1,22.5
407.3001973,143.3834969,4.272022048,um,Spot,Position,47,1,23
405.7319474,143.3237239,5.048573663,um,Spot,Position,48,1,23.5
401.2285483,142.6376103,7.093641268,um,Spot,Position,49,1,24
399.5625421,141.2880615,7.40596112,um,Spot,Position,50,1,24.5
399.5166095,141.3250869,6.87938365,um,Spot,Position,51,1,25
400.0015968,141.1912916,6.832588758,um,Spot,Position,52,1,25.5
401.2848232,140.8361415,7.19345664,um,Spot,Position,53,1,26
402.5680495,140.4809914,7.554324521,um,Spot,Position,54,1,26.5
403.7566125,139.3087497,7.111685601,um,Spot,Position,55,1,27
403.754491,139.9841856,8.304852599,um,Spot,Position,56,1,27.5
403.7523696,140.6596214,9.498019598,um,Spot,Position,57,1,28
404.5710742,142.1820844,5.564953005,um,Spot,Position,58,1,28.5
404.6166933,140.9448059,0.361978397,um,Spot,Position,59,1,29
404.2384449,141.5293488,0.870559634,um,Spot,Position,60,1,29.5
402.0033203,136.1632378,3.217365041,um,Spot,Position,61,1,30
398.9067519,131.7129803,4.944517672,um,Spot,Position,62,1,30.5
258.9565054,358.3361554,64.88658026,um,Spot,Position,1,2,0
258.8246389,358.2243085,64.83445845,um,Spot,Position,2,2,0.5
257.5059738,357.105839,64.31324038,um,Spot,Position,3,2,1
89.8063079,359.2773315,70.08488283,um,Spot,Position,1,3,0
89.83432167,359.3543039,69.90851946,um,Spot,Position,2,3,0.5
89.68794134,360.8651509,69.60456181,um,Spot,Position,3,3,1
88.76073385,363.4606259,72.02562017,um,Spot,Position,4,3,1.5
88.62137195,363.4943027,71.42057786,um,Spot,Position,5,3,2
88.54434336,364.5347041,70.0131329,um,Spot,Position,6,3,2.5
115.3285259,393.338253,67.29864427,um,Spot,Position,7,3,3
133.5561309,411.8994164,69.32048143,um,Spot,Position,8,3,3.5
129.233459,410.6353528,75.27323936,um,Spot,Position,16,4,7.5
125.6059037,408.8719416,81.99550318,um,Spot,Position,17,4,8
125.3730074,409.3243006,82.43715017,um,Spot,Position,18,4,8.5
125.1551165,409.291426,84.17946392,um,Spot,Position,19,4,9
124.9372256,409.2585514,85.92177767,um,Spot,Position,20,4,9.5
122.620688,406.5812855,90.66621082,um,Spot,Position,21,4,10
118.647022,401.7917941,97.63810812,um,Spot,Position,22,4,10.5
115.114994,395.9151464,98.65817839,um,Spot,Position,41,5,20
116.4164724,393.259725,97.73638601,um,Spot,Position,42,5,20.5
117.5878689,392.2509546,97.16566955,um,Spot,Position,43,5,21
118.6291833,392.8888352,96.94602901,um,Spot,Position,44,5,21.5
116.4665619,394.632548,96.90322801,um,Spot,Position,45,5,22
116.1213437,395.3564995,97.82771689,um,Spot,Position,46,5,22.5
120.685415,391.6590703,93.28291805,um,Spot,Position,52,6,25.5
118.5257423,383.0011372,95.84642923,um,Spot,Position,53,6,26
119.3323108,380.9646031,95.0133428,um,Spot,Position,54,6,26.5
121.5345366,380.3368509,93.97155489,um,Spot,Position,55,6,27
123.7868941,379.4665123,93.96642243,um,Spot,Position,56,6,27.5
123.7345338,380.0722133,94.26846374,um,Spot,Position,57,6,28
123.6329932,379.6616129,94.21203157,um,Spot,Position,58,6,28.5
123.1533965,378.7336734,94.24945734,um,Spot,Position,59,6,29
121.9711574,378.3156437,93.9293106,um,Spot,Position,60,6,29.5
120.3833603,377.6652431,92.74274302,um,Spot,Position,61,6,30
118.576889,372.0827229,88.26342444,um,Spot,Position,62,6,30.5
138.8853034,284.9125806,4.100365832,um,Spot,Position,1,7,0
138.8535548,284.8867577,4.083881808,um,Spot,Position,2,7,0.5
139.1406908,284.3428331,6.847912701,um,Spot,Position,3,7,1
139.7618863,283.681884,11.09286319,um,Spot,Position,4,7,1.5
140.4521036,282.9474961,15.80947484,um,Spot,Position,5,7,2
141.1194778,282.2956912,20.04508588,um,Spot,Position,6,7,2.5
142.192391,281.939017,19.82475473,um,Spot,Position,7,7,3
145.4789203,279.7441598,19.14337402,um,Spot,Position,8,7,3.5
148.3601637,278.1199657,18.9309092,um,Spot,Position,9,7,4
143.3677955,278.0513007,16.49132058,um,Spot,Position,10,7,4.5
142.4137267,277.4850842,22.0554295,um,Spot,Position,11,7,5
148.1101726,277.9498344,27.74963605,um,Spot,Position,12,7,5.5
148.1893963,277.672644,27.68821934,um,Spot,Position,13,7,6
148.328093,277.4033413,27.80571998,um,Spot,Position,14,7,6.5
149.4278725,275.897923,29.95978371,um,Spot,Position,15,7,7
152.8107869,270.7481822,33.05584186,um,Spot,Position,16,7,7.5
154.0193327,268.5779945,30.21421272,um,Spot,Position,17,7,8
154.1331239,267.7337949,29.08734628,um,Spot,Position,18,7,8.5
153.1521606,268.2155834,29.67524252,um,Spot,Position,19,7,9
152.2757308,267.4274168,31.25966214,um,Spot,Position,20,7,9.5
151.6432122,263.6760221,35.16930299,um,Spot,Position,21,7,10
151.4765532,261.0221177,37.4015519,um,Spot,Position,22,7,10.5
150.8166179,261.6972738,34.6165553,um,Spot,Position,23,7,11
151.1560568,261.8500859,33.55321688,um,Spot,Position,24,7,11.5
151.9445316,262.0281141,33.5681752,um,Spot,Position,25,7,12
151.3780095,260.4715719,32.03306434,um,Spot,Position,26,7,12.5
150.9272199,257.4632901,28.93912306,um,Spot,Position,27,7,13
148.8827392,260.124866,28.72060175,um,Spot,Position,28,7,13.5
144.5767945,268.423449,30.58987788,um,Spot,Position,29,7,14
140.9617914,273.5549372,29.81987674,um,Spot,Position,30,7,14.5
140.8594538,273.3689791,29.9269453,um,Spot,Position,31,7,15
137.6155448,275.2065032,24.37613832,um,Spot,Position,32,7,15.5
138.4355424,267.6320098,34.3273804,um,Spot,Position,33,7,16
138.3210736,267.9158361,37.39649881,um,Spot,Position,34,7,16.5
135.244596,274.6728201,39.52848481,um,Spot,Position,35,7,17
122.5552075,282.7506311,50.33775829,um,Spot,Position,36,7,17.5
120.7695264,282.0373353,52.24698317,um,Spot,Position,37,7,18
118.3911752,280.9856464,53.64743103,um,Spot,Position,38,7,18.5
118.1677766,280.5883128,54.08361443,um,Spot,Position,39,7,19
119.0170678,280.8918186,54.34386187,um,Spot,Position,40,7,19.5
125.6453373,285.3602746,55.76085502,um,Spot,Position,41,7,20
128.9180219,287.6999814,56.57808403,um,Spot,Position,42,7,20.5
128.8351213,287.9109389,56.7955489,um,Spot,Position,43,7,21
130.3905414,287.9094347,55.97692153,um,Spot,Position,44,7,21.5
133.1537323,287.5564468,54.23808388,um,Spot,Position,45,7,22
133.0610711,287.4508646,54.12440947,um,Spot,Position,46,7,22.5
132.9941831,287.4841044,54.07330551,um,Spot,Position,47,7,23
132.2448176,286.9384514,53.57494916,um,Spot,Position,48,7,23.5
131.3625998,287.9932589,55.4802984,um,Spot,Position,49,7,24
130.7159357,289.982075,58.60748675,um,Spot,Position,50,7,24.5
131.2280982,290.9099186,59.35574524,um,Spot,Position,51,7,25
132.1984281,290.8631638,60.2888581,um,Spot,Position,52,7,25.5
130.4532604,291.3326055,60.03035531,um,Spot,Position,53,7,26
128.1955804,292.018971,59.82472478,um,Spot,Position,54,7,26.5
128.2692818,291.9908887,59.04022702,um,Spot,Position,55,7,27
128.6118878,291.86379,58.10909951,um,Spot,Position,56,7,27.5
129.2428256,291.0195593,57.60792189,um,Spot,Position,57,7,28
129.8218096,290.5151817,57.3644793,um,Spot,Position,58,7,28.5
130.0823073,291.3824051,57.67195966,um,Spot,Position,59,7,29
130.1097184,291.374387,57.82253147,um,Spot,Position,60,7,29.5
130.0640372,291.0239131,57.36601254,um,Spot,Position,61,7,30
129.9400417,290.340861,56.37781646,um,Spot,Position,62,7,30.5
327.5719066,355.4327252,81.23467659,um,Spot,Position,1,8,0
327.5046391,355.4869941,81.18610725,um,Spot,Position,2,8,0.5
324.8224582,353.8563056,80.03360691,um,Spot,Position,3,8,1
320.5999403,350.4326462,78.39623033,um,Spot,Position,4,8,1.5
317.0909416,347.8607419,77.02492112,um,Spot,Position,5,8,2
318.3126941,350.2174848,77.44560428,um,Spot,Position,6,8,2.5
318.646532,350.6706717,77.60417943,um,Spot,Position,7,8,3
318.6056721,350.3533768,77.64464217,um,Spot,Position,8,8,3.5
319.3187897,350.1575463,79.08812642,um,Spot,Position,9,8,4
323.6113968,345.0829088,86.83559532,um,Spot,Position,10,8,4.5
113.7984853,261.8077249,53.12501963,um,Spot,Position,1,9,0
114.2086954,261.7916875,53.52165877,um,Spot,Position,2,9,0.5
118.3107961,261.6313136,57.48805023,um,Spot,Position,3,9,1
124.4900242,266.3345199,64.95841639,um,Spot,Position,4,9,1.5
131.7012967,272.2335744,73.80057516,um,Spot,Position,5,9,2
137.9630088,278.0125936,80.45115329,um,Spot,Position,6,9,2.5
135.4502452,283.1811661,66.07014105,um,Spot,Position,7,9,3
135.6823684,282.1100712,66.37907832,um,Spot,Position,8,9,3.5
135.0146698,283.7371632,65.03100173,um,Spot,Position,9,9,4
134.3469712,285.3642552,63.68292514,um,Spot,Position,10,9,4.5
133.1756315,286.6457901,63.71076889,um,Spot,Position,11,9,5
131.8783815,287.8409357,64.08259273,um,Spot,Position,12,9,5.5
127.1346902,289.264897,67.61130712,um,Spot,Position,13,9,6
126.5914921,288.8113605,68.523563,um,Spot,Position,14,9,6.5
126.9197964,288.3797265,70.33484064,um,Spot,Position,15,9,7
126.7735501,288.3419038,70.49582984,um,Spot,Position,16,9,7.5
126.9528459,288.423858,70.62213919,um,Spot,Position,17,9,8
127.1051001,288.317705,70.90936256,um,Spot,Position,18,9,8.5
126.9878652,288.4964715,70.24689935,um,Spot,Position,19,9,9
125.9255056,291.7439722,64.72898938,um,Spot,Position,20,9,9.5
124.814145,293.4593875,63.7545646,um,Spot,Position,21,9,10
125.0128342,293.3260918,62.34820803,um,Spot,Position,22,9,10.5
124.9092558,292.5712548,62.05605597,um,Spot,Position,23,9,11
124.4813332,291.2096872,63.03437027,um,Spot,Position,24,9,11.5
124.191102,289.8873446,63.58164781,um,Spot,Position,25,9,12
123.8806399,288.9147768,63.8520954,um,Spot,Position,26,9,12.5
119.9712545,287.0607808,64.36045824,um,Spot,Position,27,9,13
116.0813944,285.2616682,65.52537405,um,Spot,Position,28,9,13.5
113.6142603,284.5805339,69.12917569,um,Spot,Position,29,9,14
113.4014526,283.4042268,69.41742202,um,Spot,Position,30,9,14.5
109.233313,274.9807927,65.74584001,um,Spot,Position,31,9,15
88.65831952,215.273627,42.57568518,um,Spot,Position,32,9,15.5
88.81846304,215.6762896,42.74626629,um,Spot,Position,33,9,16
88.83377055,215.2299626,43.29458148,um,Spot,Position,34,9,16.5
88.84907806,214.7836355,43.84289668,um,Spot,Position,35,9,17
95.98394651,218.1559503,41.67899343,um,Spot,Position,36,9,17.5
92.95774049,216.3267553,44.85805747,um,Spot,Position,37,9,18
92.81047926,216.215851,44.99571364,um,Spot,Position,38,9,18.5
93.45328713,217.5063522,43.505989,um,Spot,Position,39,9,19
94.00839942,222.0184147,40.33540655,um,Spot,Position,40,9,19.5
96.26430606,225.4523556,39.85946598,um,Spot,Position,41,9,20
95.90426002,226.1288425,39.67862835,um,Spot,Position,42,9,20.5
95.39083623,226.9657284,44.69944417,um,Spot,Position,43,9,21
94.15803241,230.0758188,42.78336854,um,Spot,Position,44,9,21.5
97.60470836,221.6801142,45.64922823,um,Spot,Position,45,9,22
98.3117876,219.8226176,45.14997078,um,Spot,Position,46,9,22.5
99.17320265,215.854032,44.90291797,um,Spot,Position,47,9,23
97.67543008,215.6094807,43.76373933,um,Spot,Position,48,9,23.5
97.95368981,216.4536701,42.44949327,um,Spot,Position,49,9,24
99.24082546,213.5721301,38.59870723,um,Spot,Position,50,9,24.5
109.7606952,214.9757703,36.61242026,um,Spot,Position,51,9,25
121.0426075,217.5520898,35.86041602,um,Spot,Position,52,9,25.5
120.8241268,219.6459352,35.63753818,um,Spot,Position,53,9,26
120.9661662,220.5591989,35.74668701,um,Spot,Position,54,9,26.5
120.3736243,221.5038693,34.88406859,um,Spot,Position,55,9,27
117.8149618,221.6108648,34.96191496,um,Spot,Position,56,9,27.5
117.1216189,221.0982183,34.79182589,um,Spot,Position,57,9,28
116.710146,220.6320428,34.51156434,um,Spot,Position,58,9,28.5
116.5277693,220.1760181,35.65940408,um,Spot,Position,59,9,29
114.1057979,216.1628509,47.52959653,um,Spot,Position,60,9,29.5
113.3923493,216.036243,50.53649498,um,Spot,Position,61,9,30
112.5797126,217.5587468,50.19444053,um,Spot,Position,62,9,30.5
223.8251105,402.1054285,93.75416845,um,Spot,Position,1,10,0
223.7809827,402.0888397,93.72987644,um,Spot,Position,2,10,0.5
223.3397043,401.9229516,93.48695641,um,Spot,Position,3,10,1
223.2905641,400.9129888,97.78488346,um,Spot,Position,4,10,1.5
226.4875712,405.057531,98.57191562,um,Spot,Position,30,11,14.5
228.1366082,404.8910945,99.3645442,um,Spot,Position,31,11,15
231.6967172,405.0118645,98.80722601,um,Spot,Position,32,11,15.5
234.172395,405.2218204,98.55090341,um,Spot,Position,33,11,16
234.1177333,405.6398768,98.99690385,um,Spot,Position,34,11,16.5
233.5390302,405.5375165,97.81981133,um,Spot,Position,35,11,17
232.8293167,405.3050521,96.23694558,um,Spot,Position,36,11,17.5
233.6644618,403.0847675,96.64171508,um,Spot,Position,37,11,18
233.0502698,400.518711,97.29673188,um,Spot,Position,38,11,18.5
235.9638554,399.0065105,96.00920093,um,Spot,Position,39,11,19
237.7053764,398.816534,95.84795328,um,Spot,Position,40,11,19.5
237.7785985,399.5799473,96.40320282,um,Spot,Position,41,11,20
237.6623647,400.6496124,96.77042154,um,Spot,Position,42,11,20.5
235.8410265,404.4755433,95.44536297,um,Spot,Position,43,11,21
229.3782861,400.2360575,97.68542371,um,Spot,Position,44,11,21.5
345.5519643,322.2070542,37.21126532,um,Spot,Position,56,12,27.5
369.1208016,301.1633888,19.29779314,um,Spot,Position,57,12,28
369.5911375,300.5211177,18.50092151,um,Spot,Position,58,12,28.5
369.7480769,300.3142344,18.67111346,um,Spot,Position,59,12,29
370.3554883,300.6034824,18.25025218,um,Spot,Position,60,12,29.5
373.7028559,303.7060794,16.29219366,um,Spot,Position,61,12,30
377.355084,304.9373279,17.9418678,um,Spot,Position,62,12,30.5
319.7551057,1.412246821,30.6043322,um,Spot,Position,16,13,7.5
324.0879911,5.188917994,30.61405774,um,Spot,Position,17,13,8
325.7489588,0.621211354,31.4158405,um,Spot,Position,18,13,8.5
327.384267,0.027846155,30.83375997,um,Spot,Position,19,13,9
328.0408163,0.464863801,32.76694398,um,Spot,Position,20,13,9.5
327.4214385,2.455872927,34.58112631,um,Spot,Position,29,14,14
330.3237494,5.178102042,32.64326729,um,Spot,Position,30,14,14.5
333.2260603,7.900331157,30.70540828,um,Spot,Position,31,14,15
336.1283712,10.62256027,28.76754926,um,Spot,Position,32,14,15.5
332.883974,7.744708774,25.05627657,um,Spot,Position,33,14,16
329.1105584,3.565118617,22.40923954,um,Spot,Position,34,14,16.5
331.3411071,3.511455042,24.05094817,um,Spot,Position,35,14,17
331.1544796,3.190534488,22.68432211,um,Spot,Position,36,14,17.5
332.5065709,4.421441066,21.5630167,um,Spot,Position,37,14,18
334.0296309,5.824772882,20.46896915,um,Spot,Position,38,14,18.5
332.7368579,6.4836467,18.5410523,um,Spot,Position,39,14,19
331.1312145,7.059802963,16.52048331,um,Spot,Position,40,14,19.5
329.9552708,6.625491813,14.74577552,um,Spot,Position,41,14,20
329.9603405,4.589800434,10.61263276,um,Spot,Position,42,14,20.5
329.5827061,0.713424414,8.536750513,um,Spot,Position,43,14,21
240.6213468,164.561079,74.83082159,um,Spot,Position,1,15,0
240.6843568,164.893348,74.97082853,um,Spot,Position,2,15,0.5
240.413125,178.0308484,79.33212647,um,Spot,Position,3,15,1
238.8459691,188.1898156,79.0195726,um,Spot,Position,4,15,1.5
239.5480119,187.5690366,79.35883415,um,Spot,Position,5,15,2
240.2500547,186.9482575,79.6980957,um,Spot,Position,6,15,2.5
241.0223017,186.2654006,80.0712834,um,Spot,Position,7,15,3
240.8732145,186.5027323,80.12142826,um,Spot,Position,8,15,3.5
240.8675949,186.4770876,80.17569284,um,Spot,Position,9,15,4
240.6621172,185.7804201,80.27232444,um,Spot,Position,10,15,4.5
240.3642912,186.5910404,80.46960828,um,Spot,Position,11,15,5
240.0710085,187.6188425,80.6749374,um,Spot,Position,12,15,5.5
242.3303402,186.1813846,81.69206394,um,Spot,Position,13,15,6
244.7321267,184.4908824,82.834604,um,Spot,Position,14,15,6.5
244.3793936,185.1655552,83.24750661,um,Spot,Position,15,15,7
243.9056781,185.6359709,83.35150747,um,Spot,Position,16,15,7.5
242.7488877,188.636477,83.45388745,um,Spot,Position,17,15,8
243.217113,190.8902062,80.42198765,um,Spot,Position,18,15,8.5
239.191118,189.4542054,80.77467353,um,Spot,Position,19,15,9
233.7707318,187.2202347,82.49588579,um,Spot,Position,20,15,9.5
233.539063,188.7408326,82.82905456,um,Spot,Position,21,15,10
233.5112287,192.3871451,84.50763248,um,Spot,Position,22,15,10.5
87.87062801,315.8800369,64.99786889,um,Spot,Position,1,16,0
87.58669415,314.5483551,64.3114882,um,Spot,Position,2,16,0.5
85.19929242,303.7362278,58.67076983,um,Spot,Position,3,16,1
86.1542864,304.4306383,57.98695156,um,Spot,Position,4,16,1.5
89.25272042,306.8651226,57.32912175,um,Spot,Position,5,16,2
90.18041956,306.4053208,57.52313408,um,Spot,Position,6,16,2.5
90.86561072,304.265561,57.99596745,um,Spot,Position,7,16,3
90.11613514,303.9036838,56.20754436,um,Spot,Position,8,16,3.5
89.6301766,304.107324,54.06395717,um,Spot,Position,9,16,4
90.19828617,306.5730335,50.4997135,um,Spot,Position,10,16,4.5
90.76639575,309.038743,46.93546983,um,Spot,Position,11,16,5
91.27686928,309.0576707,46.42308576,um,Spot,Position,12,16,5.5
91.72970679,306.6298166,48.96256129,um,Spot,Position,13,16,6
93.11940348,303.4110574,50.3065557,um,Spot,Position,14,16,6.5
98.70792244,293.6384076,53.04216983,um,Spot,Position,15,16,7
98.77793554,294.6613493,53.14338496,um,Spot,Position,16,16,7.5
98.97069538,294.1243533,53.29841078,um,Spot,Position,17,16,8
98.96982365,294.1209586,53.30410802,um,Spot,Position,18,16,8.5
98.96895191,294.1175639,53.30980527,um,Spot,Position,19,16,9
95.84383947,295.6182964,60.44498986,um,Spot,Position,20,16,9.5
85.77678343,303.9793808,63.24378606,um,Spot,Position,21,16,10
84.02170632,306.1815967,64.31292385,um,Spot,Position,22,16,10.5
84.39075503,306.9387381,65.04060751,um,Spot,Position,23,16,11
83.86822826,304.8398304,63.25556767,um,Spot,Position,24,16,11.5
84.38650173,305.7397823,61.79283851,um,Spot,Position,25,16,12
84.43906934,306.5702538,62.28552388,um,Spot,Position,26,16,12.5
84.04028678,303.42218,55.7755789,um,Spot,Position,27,16,13
79.01394589,303.576604,49.88968927,um,Spot,Position,28,16,13.5
74.3592796,306.7382772,50.31868771,um,Spot,Position,29,16,14
71.72963513,307.5262794,50.03594413,um,Spot,Position,30,16,14.5
69.39381053,308.0706514,49.63323493,um,Spot,Position,31,16,15
69.150659,307.5444795,49.29993357,um,Spot,Position,32,16,15.5
68.03589434,303.1449849,41.72258318,um,Spot,Position,33,16,16
66.64891491,296.8793897,30.82958145,um,Spot,Position,34,16,16.5
65.47964262,292.5801856,23.08052214,um,Spot,Position,35,16,17
64.81835369,292.8692277,22.66732845,um,Spot,Position,36,16,17.5
53.73171993,261.6637743,16.28450969,um,Spot,Position,37,16,18
44.89407042,258.555825,11.57727879,um,Spot,Position,38,16,18.5
42.01276976,260.2620387,10.61948121,um,Spot,Position,39,16,19
44.12573909,263.4795939,11.17816064,um,Spot,Position,40,16,19.5
45.63488739,273.3217258,14.90785711,um,Spot,Position,41,16,20
46.29743414,276.5890473,16.0067318,um,Spot,Position,42,16,20.5
47.54459037,278.5265562,16.18693336,um,Spot,Position,43,16,21
51.78711342,281.376586,15.16966842,um,Spot,Position,44,16,21.5
51.59912395,282.1347365,15.31335647,um,Spot,Position,45,16,22
49.07526924,281.2783673,15.5444385,um,Spot,Position,46,16,22.5
47.30911699,280.684297,15.74012554,um,Spot,Position,47,16,23
47.2982431,280.676873,15.73396176,um,Spot,Position,48,16,23.5
47.17312274,280.4409877,14.65443537,um,Spot,Position,49,16,24
46.4954446,280.7639061,14.72771552,um,Spot,Position,50,16,24.5
42.95074442,284.5606826,19.50391697,um,Spot,Position,51,16,25
41.39711308,286.6405202,21.69970058,um,Spot,Position,52,16,25.5
40.71221674,287.0778693,22.57356959,um,Spot,Position,53,16,26
40.09641295,287.3457589,22.89147002,um,Spot,Position,54,16,26.5
41.20193712,289.4266696,30.4306152,um,Spot,Position,55,16,27
41.45107438,288.8458657,30.56167336,um,Spot,Position,56,16,27.5
43.34744866,288.0649309,29.73696275,um,Spot,Position,57,16,28
45.74799506,287.5908953,29.55051143,um,Spot,Position,58,16,28.5
48.14854145,287.1168596,29.36406011,um,Spot,Position,59,16,29
48.86820749,288.6368812,28.76222502,um,Spot,Position,60,16,29.5
48.50670536,288.7594509,29.68583328,um,Spot,Position,61,16,30
49.65041131,288.4105464,28.34284955,um,Spot,Position,62,16,30.5
411.3735385,392.0102965,12.42728621,um,Spot,Position,7,17,3
409.0249798,393.7749206,5.603447463,um,Spot,Position,8,17,3.5
257.3117571,241.7856573,61.51422546,um,Spot,Position,1,18,0
257.3966488,241.7672112,61.58196607,um,Spot,Position,2,18,0.5
257.0282969,240.3931427,61.78044191,um,Spot,Position,3,18,1
256.3981488,239.3544962,62.20169688,um,Spot,Position,4,18,1.5
256.8045037,239.1386683,62.45744511,um,Spot,Position,5,18,2
257.2108586,238.9228403,62.71319335,um,Spot,Position,6,18,2.5
257.2806433,238.6533608,63.37190681,um,Spot,Position,7,18,3
256.7439838,238.3573608,64.57113107,um,Spot,Position,8,18,3.5
256.4000454,236.6501289,64.18051843,um,Spot,Position,9,18,4
258.2563101,241.3069502,63.47761833,um,Spot,Position,10,18,4.5
260.5558689,243.4963595,63.49162502,um,Spot,Position,11,18,5
262.2237609,243.7492989,63.24696185,um,Spot,Position,12,18,5.5
263.2735219,243.807886,62.51122688,um,Spot,Position,13,18,6
264.323283,243.8664731,61.77549191,um,Spot,Position,14,18,6.5
264.0119404,243.6580031,61.77628029,um,Spot,Position,15,18,7
263.8023103,243.4172317,61.88547599,um,Spot,Position,16,18,7.5
268.387254,240.2826757,64.34100287,um,Spot,Position,17,18,8
284.1595367,230.3959556,72.27130254,um,Spot,Position,18,18,8.5
285.4993644,229.0360306,73.13439921,um,Spot,Position,19,18,9
284.3757363,228.6368291,73.34426006,um,Spot,Position,20,18,9.5
283.4747918,228.6427697,73.09222623,um,Spot,Position,21,18,10
282.5356808,229.6966367,72.14737608,um,Spot,Position,22,18,10.5
283.1018875,229.9624589,72.4585486,um,Spot,Position,23,18,11
284.6498536,229.8097664,72.86501239,um,Spot,Position,24,18,11.5
286.1197458,229.6775198,73.14337203,um,Spot,Position,25,18,12
284.009802,240.0185838,66.98688238,um,Spot,Position,26,18,12.5
271.8003635,293.4982226,36.22614582,um,Spot,Position,27,18,13
250.0924537,342.1407356,1.858898235,um,Spot,Position,28,18,13.5
96.31580867,51.97745319,97.77363479,um,Spot,Position,1,19,0
96.36393132,51.73839763,97.81834862,um,Spot,Position,2,19,0.5
96.57179316,51.26821472,97.3340567,um,Spot,Position,3,19,1
96.71942258,51.61304967,97.12776305,um,Spot,Position,4,19,1.5
96.94903685,51.69133111,97.23754987,um,Spot,Position,5,19,2
96.33240584,53.9871163,95.26542368,um,Spot,Position,6,19,2.5
95.06286407,53.59458552,92.47564939,um,Spot,Position,7,19,3
94.34710279,52.86730342,90.64298452,um,Spot,Position,8,19,3.5
92.73137714,56.14889488,92.57962249,um,Spot,Position,9,19,4
96.80854757,59.15929992,97.81331144,um,Spot,Position,10,19,4.5
100.7998259,64.98173443,99.76079453,um,Spot,Position,11,19,5
282.9020402,212.0221006,75.07270473,um,Spot,Position,1,20,0
282.6486196,211.4202584,75.53177115,um,Spot,Position,2,20,0.5
281.5878645,209.8367502,78.08825184,um,Spot,Position,3,20,1
280.9647111,209.4094481,79.93139317,um,Spot,Position,4,20,1.5
280.9352365,209.3833207,81.01937751,um,Spot,Position,5,20,2
281.5686799,209.805846,81.14741139,um,Spot,Position,6,20,2.5
284.8895041,210.0369617,80.59834459,um,Spot,Position,7,20,3
290.3697253,208.5184533,78.32813487,um,Spot,Position,8,20,3.5
295.8499464,206.9999449,76.05792514,um,Spot,Position,9,20,4
300.5228449,205.76964,73.94119214,um,Spot,Position,10,20,4.5
